id;premises;target_sentence;conclusion;gold_label;item_id;context_condition;target_variant;response_option
exp1_01_pa_p_f_once;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe erhalten.;neutral;1;positive;a;once
exp1_01_pa_p_f_twice;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe erhalten.;entailment;1;positive;a;twice
exp1_01_pa_p_f_cannot_say;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.;neutral;1;positive;a;cannot say
exp1_01_pa_n_d_once;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe erhalten.;entailment;1;neutral;a;once
exp1_01_pa_n_d_twice;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe erhalten.;neutral;1;neutral;a;twice
exp1_01_pa_n_d_cannot_say;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.;neutral;1;neutral;a;cannot say
exp1_01_pb_p_f_once;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe besorgt.;neutral;1;positive;b;once
exp1_01_pb_p_f_twice;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe besorgt.;entailment;1;positive;b;twice
exp1_01_pb_p_f_cannot_say;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.;neutral;1;positive;b;cannot say
exp1_01_pb_n_d_once;Letzte Woche hat Linda Judith eine rosa Lampe fur ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe besorgt.;entailment;1;neutral;b;once
