premises,target_sentence,item_id,context,target,brace,condition,task_id,critical,sentence_surprisal,wieder_surprisal,word_surprisal,critical_surprisal
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,1,positive,0,erhalten,137.0,8.3125,"[('Vor', 12.0), ('zwei', 11.875), ('Tagen', 15.0625), ('hat', 8.1875), ('Judith', 14.25), ('wieder', 8.3125), ('eine', 4.71875), ('rosa', 0.0966796875), ('Lampe', 0.03076171875), ('erhalten', 15.6875), (',', 1.8125), ('als', 8.3125), ('sie', 4.09375), ('mit', 6.25), ('einer', 2.28125), ('Freundin', 10.41650390625), ('unterwegs', 11.4375), ('war', 0.416015625), ('.', 1.421875)]",15.6875
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,2,neutral,0,erhalten,140.0,10.0,"[('Vor', 12.0), ('zwei', 11.875), ('Tagen', 15.0625), ('hat', 8.1875), ('Linda', 4.875), ('wieder', 10.0), ('eine', 5.03125), ('rosa', 0.15234375), ('Lampe', 0.007781982421875), ('erhalten', 18.875), (',', 1.5), ('als', 10.4375), ('sie', 6.625), ('mit', 7.21875), ('einer', 2.1875), ('Freundin', 11.42822265625), ('unterwegs', 12.0625), ('war', 0.69140625), ('.', 1.5)]",18.875
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,1,neutral,1,besorgt,152.0,8.3125,"[('Vor', 12.0), ('zwei', 11.875), ('Tagen', 15.0625), ('hat', 8.1875), ('Judith', 14.25), ('wieder', 8.3125), ('eine', 4.71875), ('rosa', 0.0966796875), ('Lampe', 0.03076171875), ('besorgt', 28.4375), (',', 2.71875), ('als', 7.15625), ('sie', 4.34375), ('mit', 7.0), ('einer', 3.15625), ('Freundin', 10.30517578125), ('unterwegs', 11.6875), ('war', 0.318359375), ('.', 2.71875)]",28.4375
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,2,positive,1,besorgt,156.0,10.0,"[('Vor', 12.0), ('zwei', 11.875), ('Tagen', 15.0625), ('hat', 8.1875), ('Linda', 4.875), ('wieder', 10.0), ('eine', 5.03125), ('rosa', 0.15234375), ('Lampe', 0.007781982421875), ('besorgt', 32.8125), (',', 2.734375), ('als', 8.1875), ('sie', 6.875), ('mit', 9.4375), ('einer', 1.7890625), ('Freundin', 11.3251953125), ('unterwegs', 12.5625), ('war', 0.1318359375), ('.', 2.8125)]",32.8125
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,1,neutral,2,erhalten,145.0,7.1875,"[('Vor', 12.875), ('zwei', 10.625), ('Tagen', 15.3125), ('hat', 8.6875), ('Judith', 4.75), ('wieder', 7.1875), ('eine', 3.0625), ('rosa', 1.21875), ('Lampe', 0.007781982421875), ('erhalten', 19.25), (',', 1.90625), ('als', 9.1875), ('sie', 6.75), ('mit', 9.25), ('einer', 4.4375), ('Freundin', 13.320281982421875), ('unterwegs', 15.125), ('war', 1.0625), ('.', 1.140625)]",19.25
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,2,positive,2,erhalten,136.0,9.125,"[('Vor', 12.875), ('zwei', 10.625), ('Tagen', 15.3125), ('hat', 8.6875), ('Linda', 10.625), ('wieder', 9.125), ('eine', 3.75), ('rosa', 1.328125), ('Lampe', 0.023284912109375), ('erhalten', 15.3125), (',', 1.8125), ('als', 7.90625), ('sie', 6.03125), ('mit', 6.75), ('einer', 1.59375), ('Freundin', 10.975830078125), ('unterwegs', 12.1875), ('war', 0.58984375), ('.', 0.69140625)]",15.3125
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,1,positive,3,besorgt,159.0,7.1875,"[('Vor', 12.875), ('zwei', 10.625), ('Tagen', 15.3125), ('hat', 8.6875), ('Judith', 4.75), ('wieder', 7.1875), ('eine', 3.0625), ('rosa', 1.21875), ('Lampe', 0.007781982421875), ('besorgt', 30.3125), (',', 2.03125), ('als', 8.5), ('sie', 6.15625), ('mit', 10.8125), ('einer', 5.25), ('Freundin', 13.3905029296875), ('unterwegs', 16.0), ('war', 0.138671875), ('.', 3.046875)]",30.3125
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,2,neutral,3,besorgt,157.0,9.125,"[('Vor', 12.875), ('zwei', 10.625), ('Tagen', 15.3125), ('hat', 8.6875), ('Linda', 10.625), ('wieder', 9.125), ('eine', 3.75), ('rosa', 1.328125), ('Lampe', 0.023284912109375), ('besorgt', 26.8125), (',', 1.9609375), ('als', 7.53125), ('sie', 6.34375), ('mit', 9.0), ('einer', 2.484375), ('Freundin', 12.19140625), ('unterwegs', 15.0625), ('war', 0.345703125), ('.', 2.9375)]",26.8125
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,1,positive,4,empfangen,184.0,9.9375,"[('Vor', 12.25), ('einer', 11.125), ('Woche', 5.34375), ('hat', 8.875), ('Timo', 14.1875), ('wieder', 9.9375), ('ein', 1.5703125), ('schönes', 6.625), ('Geschenk', -0.0), ('empfangen', 17.1845703125), (',', 1.53125), ('weil', 1.6796875), ('er', 2.9375), ('bei', 7.78125), ('einer', 7.78125), ('Wichtelaktion', 42.9375), ('mitgemacht', 31.4375), ('hat', -0.0), ('.', 0.82421875)]",17.1845703125
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,2,neutral,4,empfangen,154.0,10.5625,"[('Vor', 12.25), ('einer', 11.125), ('Woche', 5.34375), ('hat', 8.875), ('Linda', 5.125), ('wieder', 10.5625), ('ein', 0.640625), ('schönes', 3.46875), ('Geschenk', -0.0), ('empfangen', 20.5), (',', 2.25), ('weil', 4.78125), ('sie', 3.203125), ('bei', 6.75), ('einer', 5.5), ('Wichtelaktion', 29.3125), ('mitgemacht', 24.140625), ('hat', 0.007781982421875), ('.', 0.62890625)]",20.5
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",2,ai,bii,1,neutral,5,gemacht,174.0,9.9375,"[('Vor', 12.25), ('einer', 11.125), ('Woche', 5.34375), ('hat', 8.875), ('Timo', 14.1875), ('wieder', 9.9375), ('ein', 1.5703125), ('schönes', 6.625), ('Geschenk', -0.0), ('gemacht', 15.75), (',', 0.94140625), ('weil', 2.296875), ('er', 2.015625), ('bei', 8.3125), ('einer', 8.125), ('Wichtelaktion', 42.125), ('mitgemacht', 22.50537109375), ('hat', -0.0), ('.', 1.5390625)]",15.75
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",2,ai,bii,2,positive,5,gemacht,139.0,10.5625,"[('Vor', 12.25), ('einer', 11.125), ('Woche', 5.34375), ('hat', 8.875), ('Linda', 5.125), ('wieder', 10.5625), ('ein', 0.640625), ('schönes', 3.46875), ('Geschenk', -0.0), ('gemacht', 16.75), (',', 0.9765625), ('weil', 3.578125), ('sie', 3.96875), ('bei', 8.3125), ('einer', 6.03125), ('Wichtelaktion', 30.59375), ('mitgemacht', 11.0), ('hat', 0.15234375), ('.', 0.45703125)]",16.75
Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",2,aii,bi,1,neutral,6,empfangen,145.0,8.9375,"[('Vor', 12.5625), ('einer', 10.9375), ('Woche', 6.40625), ('hat', 8.125), ('Timo', 1.0078125), ('wieder', 8.9375), ('ein', 0.890625), ('schönes', 3.453125), ('Geschenk', -0.0), ('empfangen', 21.328125), (',', 2.40625), ('weil', 3.6875), ('er', 2.59375), ('bei', 6.5), ('einer', 4.90625), ('Wichtelaktion', 38.46875), ('mitgemacht', 11.671875), ('hat', 0.038330078125), ('.', 0.90234375)]",21.328125
Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",2,aii,bi,2,positive,6,empfangen,164.0,9.625,"[('Vor', 12.5625), ('einer', 10.9375), ('Woche', 6.40625), ('hat', 8.125), ('Linda', 14.4375), ('wieder', 9.625), ('ein', 1.0859375), ('schönes', 1.921875), ('Geschenk', -0.0), ('empfangen', 17.90576171875), (',', 0.8515625), ('weil', 5.09375), ('sie', 2.265625), ('bei', 9.0625), ('einer', 3.671875), ('Wichtelaktion', 29.34375), ('mitgemacht', 30.4375), ('hat', 0.05322265625), ('.', 0.5625)]",17.90576171875
