id,premises,target_sentence,conclusion,gold_label,item_id,context,target,brace,condition,response_option,target_inferred,target_note,role_note,google/gemma-3-12b-it_pred_label,google/gemma-3-12b-it_p_entailment,google/gemma-3-12b-it_p_neutral,google/gemma-3-12b-it_p_contradiction
1_ai_bi1_once_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe erhalten.,unknown,1,ai,bi,1,positive,once,False,,,entailment,0.9998,0.0,0.0002
1_ai_bi1_twice_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe erhalten.,entailment,1,ai,bi,1,positive,twice,False,,,entailment,1.0,0.0,0.0
1_ai_bi1_cannot_say_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.",unknown,1,ai,bi,1,positive,cannot say,False,,,neutral,0.0768,0.8877,0.0355
1_ai_bi2_once_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe erhalten.,entailment,1,ai,bi,2,neutral,once,False,,,entailment,0.9998,0.0,0.0002
1_ai_bi2_twice_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe erhalten.,unknown,1,ai,bi,2,neutral,twice,False,,,entailment,1.0,0.0,0.0
1_ai_bi2_cannot_say_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.",unknown,1,ai,bi,2,neutral,cannot say,False,,,neutral,0.0764,0.8835,0.0401
1_ai_bii1_once_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe besorgt.,entailment,1,ai,bii,1,neutral,once,False,,,entailment,0.9998,0.0,0.0002
1_ai_bii1_twice_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe besorgt.,unknown,1,ai,bii,1,neutral,twice,False,,,entailment,1.0,0.0,0.0
1_ai_bii1_cannot_say_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.",unknown,1,ai,bii,1,neutral,cannot say,False,,,neutral,0.0304,0.966,0.0036
1_ai_bii2_once_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe besorgt.,unknown,1,ai,bii,2,positive,once,False,,,entailment,0.9998,0.0,0.0001
1_ai_bii2_twice_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe besorgt.,entailment,1,ai,bii,2,positive,twice,False,,,entailment,1.0,0.0,0.0
1_ai_bii2_cannot_say_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.",unknown,1,ai,bii,2,positive,cannot say,False,,,neutral,0.0304,0.9666,0.003
1_aii_bi1_once_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe erhalten.,entailment,1,aii,bi,1,neutral,once,False,,,entailment,0.9997,0.0,0.0003
1_aii_bi1_twice_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe erhalten.,unknown,1,aii,bi,1,neutral,twice,False,,,entailment,1.0,0.0,0.0
1_aii_bi1_cannot_say_neu,Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.",unknown,1,aii,bi,1,neutral,cannot say,False,,,neutral,0.0496,0.9402,0.0103
