id,premises,target_sentence,conclusion,gold_label,item_id,context,target,brace,condition,response_option,target_inferred,target_note,role_note,meta-llama/Llama-3.1-8B-Instruct_pred_label,meta-llama/Llama-3.1-8B-Instruct_p_entailment,meta-llama/Llama-3.1-8B-Instruct_p_neutral,meta-llama/Llama-3.1-8B-Instruct_p_contradiction
1_ai_bi1_once_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe erhalten.,unknown,1,ai,bi,1,positive,once,False,,,entailment,0.8418,0.0152,0.1431
1_ai_bi1_twice_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe erhalten.,entailment,1,ai,bi,1,positive,twice,False,,,entailment,0.9013,0.0047,0.094
1_ai_bi1_cannot_say_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.",unknown,1,ai,bi,1,positive,cannot say,False,,,neutral,0.1213,0.5909,0.2877
1_ai_bi2_once_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe erhalten.,entailment,1,ai,bi,2,neutral,once,False,,,entailment,0.8607,0.0085,0.1309
1_ai_bi2_twice_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe erhalten.,unknown,1,ai,bi,2,neutral,twice,False,,,entailment,0.909,0.003,0.0881
1_ai_bi2_cannot_say_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.",unknown,1,ai,bi,2,neutral,cannot say,False,,,neutral,0.1141,0.6249,0.261
1_ai_bii1_once_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat einmal eine rosa Lampe besorgt.,entailment,1,ai,bii,1,neutral,once,False,,,entailment,0.8904,0.0077,0.1018
1_ai_bii1_twice_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Judith hat mindestens zweimal eine rosa Lampe besorgt.,unknown,1,ai,bii,1,neutral,twice,False,,,entailment,0.9321,0.0014,0.0665
1_ai_bii1_cannot_say_neu,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.",unknown,1,ai,bii,1,neutral,cannot say,False,,,neutral,0.1211,0.6369,0.242
1_ai_bii2_once_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat einmal eine rosa Lampe besorgt.,unknown,1,ai,bii,2,positive,once,False,,,entailment,0.8968,0.0041,0.0991
1_ai_bii2_twice_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",Linda hat mindestens zweimal eine rosa Lampe besorgt.,entailment,1,ai,bii,2,positive,twice,False,,,entailment,0.9427,0.0009,0.0564
1_ai_bii2_cannot_say_pos,Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.","Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.",unknown,1,ai,bii,2,positive,cannot say,False,,,neutral,0.1313,0.6372,0.2315
