premises,target_sentence,item_id,context,target,brace,condition,task_id,critical,sentence_surprisal,wieder_surprisal,word_surprisal,critical_surprisal
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,1,positive,0,erhalten,64.5,6.28125,"[('Vor', 17.5390625), ('zwei', 1.4921875), ('Tagen', 1.5078125), ('hat', 0.73046875), ('Judith', 2.359375), ('wieder', 6.28125), ('eine', 1.6328125), ('rosa', 2.5625), ('Lampe', 0.1318359375), ('erhalten', 8.5625), (',', 1.8046875), ('als', 4.28125), ('sie', 3.078125), ('mit', 3.40625), ('einer', 2.96875), ('Freundin', 1.015625), ('unterwegs', 4.0780029296875), ('war', 0.0155029296875), ('.', 0.8125)]",8.5625
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,2,neutral,0,erhalten,64.0,7.0625,"[('Vor', 17.5390625), ('zwei', 1.4921875), ('Tagen', 1.5078125), ('hat', 0.73046875), ('Linda', 1.546875), ('wieder', 7.0625), ('eine', 1.4765625), ('rosa', 2.5), ('Lampe', 0.15234375), ('erhalten', 8.625), (',', 1.796875), ('als', 4.3125), ('sie', 2.71875), ('mit', 3.4375), ('einer', 3.125), ('Freundin', 0.94140625), ('unterwegs', 4.3905029296875), ('war', 0.0155029296875), ('.', 0.75390625)]",8.625
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,1,neutral,1,besorgt,61.75,6.28125,"[('Vor', 17.5390625), ('zwei', 1.4921875), ('Tagen', 1.5078125), ('hat', 0.73046875), ('Judith', 2.359375), ('wieder', 6.28125), ('eine', 1.6328125), ('rosa', 2.5625), ('Lampe', 0.1318359375), ('besorgt', 6.9521484375), (',', 1.65625), ('als', 5.125), ('sie', 1.453125), ('mit', 4.125), ('einer', 3.109375), ('Freundin', 1.1796875), ('unterwegs', 3.242156982421875), ('war', 0.0155029296875), ('.', 0.77734375)]",6.9521484375
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,2,positive,1,besorgt,61.5,7.0625,"[('Vor', 17.5390625), ('zwei', 1.4921875), ('Tagen', 1.5078125), ('hat', 0.73046875), ('Linda', 1.546875), ('wieder', 7.0625), ('eine', 1.4765625), ('rosa', 2.5), ('Lampe', 0.15234375), ('besorgt', 6.788330078125), (',', 1.609375), ('als', 5.15625), ('sie', 1.2421875), ('mit', 4.0625), ('einer', 3.28125), ('Freundin', 0.98828125), ('unterwegs', 3.492156982421875), ('war', 0.023193359375), ('.', 0.76953125)]",6.788330078125
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,1,neutral,2,erhalten,65.0,7.5625,"[('Vor', 17.5390625), ('zwei', 1.5546875), ('Tagen', 1.6171875), ('hat', 0.76171875), ('Judith', 1.671875), ('wieder', 7.5625), ('eine', 1.5546875), ('rosa', 2.46875), ('Lampe', 0.138671875), ('erhalten', 8.5625), (',', 1.765625), ('als', 4.3125), ('sie', 3.125), ('mit', 3.359375), ('einer', 3.28125), ('Freundin', 0.83984375), ('unterwegs', 4.1717529296875), ('war', 0.0155029296875), ('.', 0.78125)]",8.5625
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,2,positive,2,erhalten,63.25,5.8125,"[('Vor', 17.5390625), ('zwei', 1.5546875), ('Tagen', 1.6171875), ('hat', 0.76171875), ('Linda', 1.984375), ('wieder', 5.8125), ('eine', 1.4453125), ('rosa', 2.3125), ('Lampe', 0.12451171875), ('erhalten', 8.375), (',', 1.8125), ('als', 4.3125), ('sie', 2.875), ('mit', 3.390625), ('einer', 3.09375), ('Freundin', 1.0703125), ('unterwegs', 4.2342529296875), ('war', 0.0155029296875), ('.', 0.8046875)]",8.375
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,1,positive,3,besorgt,62.25,7.5625,"[('Vor', 17.5390625), ('zwei', 1.5546875), ('Tagen', 1.6171875), ('hat', 0.76171875), ('Judith', 1.671875), ('wieder', 7.5625), ('eine', 1.5546875), ('rosa', 2.46875), ('Lampe', 0.138671875), ('besorgt', 6.8271484375), (',', 1.59375), ('als', 5.125), ('sie', 1.2265625), ('mit', 4.09375), ('einer', 3.4375), ('Freundin', 1.0234375), ('unterwegs', 3.320281982421875), ('war', 0.023193359375), ('.', 0.81640625)]",6.8271484375
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,2,neutral,3,besorgt,61.25,5.8125,"[('Vor', 17.5390625), ('zwei', 1.5546875), ('Tagen', 1.6171875), ('hat', 0.76171875), ('Linda', 1.984375), ('wieder', 5.8125), ('eine', 1.4453125), ('rosa', 2.3125), ('Lampe', 0.12451171875), ('besorgt', 6.944580078125), (',', 1.5625), ('als', 5.125), ('sie', 1.3046875), ('mit', 4.125), ('einer', 3.328125), ('Freundin', 1.2578125), ('unterwegs', 3.570281982421875), ('war', 0.0155029296875), ('.', 0.83984375)]",6.944580078125
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,1,positive,4,empfangen,80.0,4.0625,"[('Vor', 17.486328125), ('einer', 3.640625), ('Woche', 0.259765625), ('hat', 1.0546875), ('Timo', 3.976318359375), ('wieder', 4.0625), ('ein', 1.6171875), ('schönes', 3.015625), ('Geschenk', 0.18603515625), ('empfangen', 9.070281982421875), (',', 2.484375), ('weil', 2.734375), ('er', 1.9453125), ('bei', 6.5), ('einer', 2.296875), ('Wichtelaktion', 13.16015625), ('mitgemacht', 5.419921875), ('hat', 0.06787109375), ('.', 0.796875)]",9.070281982421875
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,2,neutral,4,empfangen,76.5,4.65625,"[('Vor', 17.486328125), ('einer', 3.640625), ('Woche', 0.259765625), ('hat', 1.0546875), ('Linda', 1.515625), ('wieder', 4.65625), ('ein', 0.86328125), ('schönes', 2.625), ('Geschenk', 0.143524169921875), ('empfangen', 10.71826171875), (',', 2.40625), ('weil', 2.90625), ('sie', 1.71875), ('bei', 6.65625), ('einer', 2.15625), ('Wichtelaktion', 12.44140625), ('mitgemacht', 4.2578125), ('hat', 0.06787109375), ('.', 0.83203125)]",10.71826171875
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",2,ai,bii,1,neutral,5,gemacht,73.0,4.0625,"[('Vor', 17.486328125), ('einer', 3.640625), ('Woche', 0.259765625), ('hat', 1.0546875), ('Timo', 3.976318359375), ('wieder', 4.0625), ('ein', 1.6171875), ('schönes', 3.015625), ('Geschenk', 0.18603515625), ('gemacht', 3.5), (',', 1.609375), ('weil', 2.359375), ('er', 2.34375), ('bei', 7.25), ('einer', 3.140625), ('Wichtelaktion', 13.171875), ('mitgemacht', 3.686767578125), ('hat', 0.06787109375), ('.', 0.671875)]",3.5
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk gemacht, weil sie bei einer Wichtelaktion mitgemacht hat.",2,ai,bii,2,positive,5,gemacht,69.5,4.65625,"[('Vor', 17.486328125), ('einer', 3.640625), ('Woche', 0.259765625), ('hat', 1.0546875), ('Linda', 1.515625), ('wieder', 4.65625), ('ein', 0.86328125), ('schönes', 2.625), ('Geschenk', 0.143524169921875), ('gemacht', 3.21875), (',', 1.671875), ('weil', 3.09375), ('sie', 2.25), ('bei', 7.03125), ('einer', 2.6875), ('Wichtelaktion', 13.45703125), ('mitgemacht', 3.195068359375), ('hat', 0.0458984375), ('.', 0.73046875)]",3.21875
Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",2,aii,bi,1,neutral,6,empfangen,79.0,5.59375,"[('Vor', 17.88671875), ('einer', 3.484375), ('Woche', 0.248046875), ('hat', 1.2265625), ('Timo', 1.437469482421875), ('wieder', 5.59375), ('ein', 1.328125), ('schönes', 2.75), ('Geschenk', 0.228973388671875), ('empfangen', 10.6405029296875), (',', 2.53125), ('weil', 2.3125), ('er', 1.59375), ('bei', 6.59375), ('einer', 2.28125), ('Wichtelaktion', 13.12109375), ('mitgemacht', 4.9853515625), ('hat', 0.05322265625), ('.', 0.73828125)]",10.6405029296875
Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",2,aii,bi,2,positive,6,empfangen,78.0,4.53125,"[('Vor', 17.88671875), ('einer', 3.484375), ('Woche', 0.248046875), ('hat', 1.2265625), ('Linda', 3.125), ('wieder', 4.53125), ('ein', 1.09375), ('schönes', 3.0), ('Geschenk', 0.177734375), ('empfangen', 9.570281982421875), (',', 2.5), ('weil', 2.875), ('sie', 1.59375), ('bei', 6.53125), ('einer', 1.9921875), ('Wichtelaktion', 12.46875), ('mitgemacht', 4.7578125), ('hat', 0.08251953125), ('.', 0.81640625)]",9.570281982421875
Letztes Jahr hat Timo Linda ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk gemacht, weil er bei einer Wichtelaktion mitgemacht hat.",2,aii,bii,1,positive,7,gemacht,70.5,5.59375,"[('Vor', 17.88671875), ('einer', 3.484375), ('Woche', 0.248046875), ('hat', 1.2265625), ('Timo', 1.437469482421875), ('wieder', 5.59375), ('ein', 1.328125), ('schönes', 2.75), ('Geschenk', 0.228973388671875), ('gemacht', 3.296875), (',', 1.75), ('weil', 2.53125), ('er', 2.03125), ('bei', 7.0625), ('einer', 2.84375), ('Wichtelaktion', 13.01953125), ('mitgemacht', 3.2030029296875), ('hat', 0.0458984375), ('.', 0.6484375)]",3.296875
