premises,target_sentence,item_id,context,target,brace,condition,task_id,critical,sentence_surprisal,wieder_surprisal,word_surprisal,critical_surprisal
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,1,positive,0,erhalten,73.0,7.5,"[('Vor', 20.0703125), ('zwei', 1.453125), ('Tagen', 1.3046875), ('hat', 0.3125), ('Judith', 4.6875), ('wieder', 7.5), ('eine', 1.578125), ('rosa', 2.265625), ('Lampe', 0.0458984375), ('erhalten', 9.125), (',', 3.71875), ('als', 4.71875), ('sie', 2.078125), ('mit', 3.4375), ('einer', 3.4375), ('Freundin', 0.74609375), ('unterwegs', 5.30322265625), ('war', 0.03076171875), ('.', 1.2578125)]",9.125
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,2,neutral,0,erhalten,70.5,8.3125,"[('Vor', 20.0703125), ('zwei', 1.453125), ('Tagen', 1.3046875), ('hat', 0.3125), ('Linda', 1.328125), ('wieder', 8.3125), ('eine', 1.2734375), ('rosa', 2.125), ('Lampe', 0.03076171875), ('erhalten', 9.3125), (',', 3.6875), ('als', 4.96875), ('sie', 2.078125), ('mit', 3.453125), ('einer', 3.21875), ('Freundin', 0.73828125), ('unterwegs', 5.50537109375), ('war', 0.03076171875), ('.', 1.234375)]",9.3125
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,1,neutral,1,besorgt,71.0,7.5,"[('Vor', 20.0703125), ('zwei', 1.453125), ('Tagen', 1.3046875), ('hat', 0.3125), ('Judith', 4.6875), ('wieder', 7.5), ('eine', 1.578125), ('rosa', 2.265625), ('Lampe', 0.0458984375), ('besorgt', 7.36767578125), (',', 3.78125), ('als', 5.75), ('sie', 1.28125), ('mit', 3.984375), ('einer', 3.21875), ('Freundin', 0.73828125), ('unterwegs', 4.40576171875), ('war', 0.03076171875), ('.', 1.2265625)]",7.36767578125
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,2,positive,1,besorgt,68.0,8.3125,"[('Vor', 20.0703125), ('zwei', 1.453125), ('Tagen', 1.3046875), ('hat', 0.3125), ('Linda', 1.328125), ('wieder', 8.3125), ('eine', 1.2734375), ('rosa', 2.125), ('Lampe', 0.03076171875), ('besorgt', 7.22900390625), (',', 3.65625), ('als', 5.875), ('sie', 1.2265625), ('mit', 3.984375), ('einer', 3.078125), ('Freundin', 0.78125), ('unterwegs', 4.608612060546875), ('war', 0.03076171875), ('.', 1.1953125)]",7.22900390625
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,1,neutral,2,erhalten,71.0,9.375,"[('Vor', 19.640625), ('zwei', 1.515625), ('Tagen', 1.3203125), ('hat', 0.32421875), ('Judith', 1.359375), ('wieder', 9.375), ('eine', 1.390625), ('rosa', 1.9375), ('Lampe', 0.0458984375), ('erhalten', 9.25), (',', 3.8125), ('als', 5.0625), ('sie', 2.234375), ('mit', 3.390625), ('einer', 3.1875), ('Freundin', 0.73828125), ('unterwegs', 5.318328857421875), ('war', 0.023193359375), ('.', 1.2109375)]",9.25
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,2,positive,2,erhalten,73.5,6.78125,"[('Vor', 19.640625), ('zwei', 1.515625), ('Tagen', 1.3203125), ('hat', 0.32421875), ('Linda', 6.46875), ('wieder', 6.78125), ('eine', 1.2734375), ('rosa', 2.25), ('Lampe', 0.0458984375), ('erhalten', 9.3125), (',', 4.03125), ('als', 5.03125), ('sie', 1.8203125), ('mit', 3.421875), ('einer', 2.984375), ('Freundin', 0.68359375), ('unterwegs', 5.380828857421875), ('war', 0.03076171875), ('.', 1.2734375)]",9.3125
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,1,positive,3,besorgt,68.5,9.375,"[('Vor', 19.640625), ('zwei', 1.515625), ('Tagen', 1.3203125), ('hat', 0.32421875), ('Judith', 1.359375), ('wieder', 9.375), ('eine', 1.390625), ('rosa', 1.9375), ('Lampe', 0.0458984375), ('besorgt', 7.2880859375), (',', 3.75), ('als', 6.0), ('sie', 1.1328125), ('mit', 4.09375), ('einer', 2.9375), ('Freundin', 0.65625), ('unterwegs', 4.382293701171875), ('war', 0.038330078125), ('.', 1.234375)]",7.2880859375
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,2,neutral,3,besorgt,71.5,6.78125,"[('Vor', 19.640625), ('zwei', 1.515625), ('Tagen', 1.3203125), ('hat', 0.32421875), ('Linda', 6.46875), ('wieder', 6.78125), ('eine', 1.2734375), ('rosa', 2.25), ('Lampe', 0.0458984375), ('besorgt', 7.45458984375), (',', 3.9375), ('als', 5.9375), ('sie', 1.0703125), ('mit', 4.0625), ('einer', 2.90625), ('Freundin', 0.6640625), ('unterwegs', 4.413543701171875), ('war', 0.03076171875), ('.', 1.21875)]",7.45458984375
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,1,positive,4,empfangen,83.0,4.78125,"[('Vor', 19.6640625), ('einer', 3.46875), ('Woche', 0.1318359375), ('hat', 0.451171875), ('Timo', 5.4833984375), ('wieder', 4.78125), ('ein', 2.078125), ('schönes', 1.609375), ('Geschenk', 0.142333984375), ('empfangen', 8.585693359375), (',', 3.453125), ('weil', 3.5625), ('er', 1.4765625), ('bei', 6.15625), ('einer', 2.4375), ('Wichtelaktion', 14.22265625), ('mitgemacht', 4.2021484375), ('hat', 0.03076171875), ('.', 1.0078125)]",8.585693359375
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,2,neutral,4,empfangen,77.5,5.625,"[('Vor', 19.6640625), ('einer', 3.46875), ('Woche', 0.1318359375), ('hat', 0.451171875), ('Linda', 1.890625), ('wieder', 5.625), ('ein', 1.25), ('schönes', 1.0859375), ('Geschenk', 0.0986328125), ('empfangen', 9.61572265625), (',', 3.421875), ('weil', 3.46875), ('sie', 1.03125), ('bei', 5.5), ('einer', 2.078125), ('Wichtelaktion', 13.7890625), ('mitgemacht', 3.69482421875), ('hat', 0.023193359375), ('.', 1.0625)]",9.61572265625
