premises,target_sentence,item_id,context,target,brace,condition,task_id,critical,sentence_surprisal,wieder_surprisal,word_surprisal,critical_surprisal
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,1,positive,0,erhalten,136.0,12.25,"[('Vor', 11.25), ('zwei', 15.125), ('Tagen', 10.125), ('hat', 5.03125), ('Judith', 4.125), ('wieder', 12.25), ('eine', 4.75), ('rosa', 0.0155029296875), ('Lampe', 2.03125), ('erhalten', 18.0), (',', 8.25), ('als', 9.0625), ('sie', 4.40625), ('mit', 7.375), ('einer', 2.3125), ('Freundin', 12.78076171875), ('unterwegs', 7.0625), ('war', 0.66015625), ('.', 1.453125)]",18.0
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,ai,bi,2,neutral,0,erhalten,133.0,12.625,"[('Vor', 11.25), ('zwei', 15.125), ('Tagen', 10.125), ('hat', 5.03125), ('Linda', 2.5), ('wieder', 12.625), ('eine', 3.46875), ('rosa', 0.0155029296875), ('Lampe', 2.25), ('erhalten', 17.875), (',', 8.0625), ('als', 8.875), ('sie', 4.8125), ('mit', 6.6875), ('einer', 1.9140625), ('Freundin', 12.65576171875), ('unterwegs', 7.6875), ('war', 0.431640625), ('.', 1.734375)]",17.875
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,1,neutral,1,besorgt,144.0,12.25,"[('Vor', 11.25), ('zwei', 15.125), ('Tagen', 10.125), ('hat', 5.03125), ('Judith', 4.125), ('wieder', 12.25), ('eine', 4.75), ('rosa', 0.0155029296875), ('Lampe', 2.03125), ('besorgt', 24.6875), (',', 7.25), ('als', 8.25), ('sie', 3.59375), ('mit', 6.375), ('einer', 3.59375), ('Freundin', 14.507781982421875), ('unterwegs', 6.875), ('war', 2.734375), ('.', 1.25)]",24.6875
Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,ai,bii,2,positive,1,besorgt,141.0,12.625,"[('Vor', 11.25), ('zwei', 15.125), ('Tagen', 10.125), ('hat', 5.03125), ('Linda', 2.5), ('wieder', 12.625), ('eine', 3.46875), ('rosa', 0.0155029296875), ('Lampe', 2.25), ('besorgt', 23.21875), (',', 6.875), ('als', 8.6875), ('sie', 4.375), ('mit', 6.84375), ('einer', 2.640625), ('Freundin', 14.273193359375), ('unterwegs', 7.84375), ('war', 1.96875), ('.', 1.59375)]",23.21875
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,1,neutral,2,erhalten,105.5,12.125,"[('Vor', 11.4375), ('zwei', 9.8125), ('Tagen', 4.0), ('hat', 2.796875), ('Judith', 0.03076171875), ('wieder', 12.125), ('eine', 3.453125), ('rosa', 4.90625), ('Lampe', 0.007781982421875), ('erhalten', 13.1875), (',', 6.625), ('als', 10.5625), ('sie', 4.1875), ('mit', 6.75), ('einer', 3.234375), ('Freundin', 5.6092529296875), ('unterwegs', 5.25), ('war', 0.98828125), ('.', 0.490234375)]",13.1875
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.",1,aii,bi,2,positive,2,erhalten,109.0,11.25,"[('Vor', 11.4375), ('zwei', 9.8125), ('Tagen', 4.0), ('hat', 2.796875), ('Linda', 7.09375), ('wieder', 11.25), ('eine', 3.09375), ('rosa', 4.09375), ('Lampe', 0.8045654296875), ('erhalten', 13.0), (',', 6.375), ('als', 11.0625), ('sie', 4.625), ('mit', 6.25), ('einer', 2.53125), ('Freundin', 4.475830078125), ('unterwegs', 4.8125), ('war', 0.58984375), ('.', 1.0625)]",13.0
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,1,positive,3,besorgt,113.0,12.125,"[('Vor', 11.4375), ('zwei', 9.8125), ('Tagen', 4.0), ('hat', 2.796875), ('Judith', 0.03076171875), ('wieder', 12.125), ('eine', 3.453125), ('rosa', 4.90625), ('Lampe', 0.007781982421875), ('besorgt', 16.46875), (',', 5.90625), ('als', 6.40625), ('sie', 3.046875), ('mit', 6.75), ('einer', 3.578125), ('Freundin', 13.28125), ('unterwegs', 6.4375), ('war', 1.21875), ('.', 1.3203125)]",16.46875
Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.,"Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.",1,aii,bii,2,neutral,3,besorgt,121.5,11.25,"[('Vor', 11.4375), ('zwei', 9.8125), ('Tagen', 4.0), ('hat', 2.796875), ('Linda', 7.09375), ('wieder', 11.25), ('eine', 3.09375), ('rosa', 4.09375), ('Lampe', 0.8045654296875), ('besorgt', 15.71875), (',', 6.0), ('als', 7.9375), ('sie', 3.890625), ('mit', 6.0), ('einer', 3.6875), ('Freundin', 14.125), ('unterwegs', 6.15625), ('war', 2.09375), ('.', 1.328125)]",15.71875
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Timo wieder ein schönes Geschenk empfangen, weil er bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,1,positive,4,empfangen,140.0,11.375,"[('Vor', 10.8125), ('einer', 8.8125), ('Woche', 4.0625), ('hat', 1.9453125), ('Timo', 9.5625), ('wieder', 11.375), ('ein', 2.9375), ('schönes', 0.1455078125), ('Geschenk', 0.007781982421875), ('empfangen', 17.546875), (',', 7.15625), ('weil', 8.375), ('er', 4.09375), ('bei', 8.0625), ('einer', 5.40625), ('Wichtelaktion', 24.78125), ('mitgemacht', 13.8515625), ('hat', 0.451171875), ('.', 0.72265625)]",17.546875
Letztes Jahr hat Linda Timo ein schönes Geschenk zum Geburtstag gebastelt.,"Vor einer Woche hat Linda wieder ein schönes Geschenk empfangen, weil sie bei einer Wichtelaktion mitgemacht hat.",2,ai,bi,2,neutral,4,empfangen,129.0,13.5,"[('Vor', 10.8125), ('einer', 8.8125), ('Woche', 4.0625), ('hat', 1.9453125), ('Linda', 0.08251953125), ('wieder', 13.5), ('ein', 2.6875), ('schönes', 0.12451171875), ('Geschenk', -0.0), ('empfangen', 17.125), (',', 6.65625), ('weil', 7.59375), ('sie', 4.71875), ('bei', 6.8125), ('einer', 4.8125), ('Wichtelaktion', 24.03125), ('mitgemacht', 14.267578125), ('hat', 0.58984375), ('.', 0.75390625)]",17.125
