id;premises;target_sentence;conclusion;gold_label;item_id;context;target;brace;condition;response_option;target_inferred;target_note;role_note;model_premise;model_conclusion;model;predicted_label;match;score_contradiction;score_neutral;score_entailment
1_ai_bi1_once_pos;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe erhalten.;unknown;1;ai;bi;1;positive;once;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;0;0.021956536918878555;0.021217940375208855;0.9568254947662354
1_ai_bi1_twice_pos;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe erhalten.;entailment;1;ai;bi;1;positive;twice;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;1;0.0013303052401170135;0.04232849180698395;0.9563412070274353
1_ai_bi1_cannot_say_pos;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.;unknown;1;ai;bi;1;positive;cannot say;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.;morit/german_xlm_xnli;neutral;1;0.024916423484683037;0.9723868370056152;0.0026966689620167017
1_ai_bi2_once_neu;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe erhalten.;entailment;1;ai;bi;2;neutral;once;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;1;0.022404126822948456;0.02538151852786541;0.9522144198417664
1_ai_bi2_twice_neu;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe erhalten.;unknown;1;ai;bi;2;neutral;twice;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;0;0.0015707479324191809;0.06317190080881119;0.9352573156356812
1_ai_bi2_cannot_say_neu;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.;unknown;1;ai;bi;2;neutral;cannot say;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.;morit/german_xlm_xnli;neutral;1;0.022986004129052162;0.9751845598220825;0.001829436281695962
1_ai_bii1_once_neu;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe besorgt.;entailment;1;ai;bii;1;neutral;once;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;1;0.033115122467279434;0.0250558964908123;0.9418289661407471
1_ai_bii1_twice_neu;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe besorgt.;unknown;1;ai;bii;1;neutral;twice;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;0;0.0013757046544924378;0.03739733248949051;0.9612268805503845
1_ai_bii1_cannot_say_neu;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.;unknown;1;ai;bii;1;neutral;cannot say;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.;morit/german_xlm_xnli;neutral;1;0.012205972336232662;0.9858168959617615;0.0019770741928368807
1_ai_bii2_once_pos;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe besorgt.;unknown;1;ai;bii;2;positive;once;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;0;0.029951609671115875;0.03287864848971367;0.9371697306632996
1_ai_bii2_twice_pos;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe besorgt.;entailment;1;ai;bii;2;positive;twice;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;1;0.0016746377805247903;0.06648987531661987;0.9318355321884155
1_ai_bii2_cannot_say_pos;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.;unknown;1;ai;bii;2;positive;cannot say;False;;;Letzte Woche hat Linda Judith eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe besorgt hat.;morit/german_xlm_xnli;neutral;1;0.014588657766580582;0.9828177690505981;0.002593626966699958
1_aii_bi1_once_neu;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe erhalten.;entailment;1;aii;bi;1;neutral;once;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;1;0.020709557458758354;0.020741773769259453;0.9585486054420471
1_aii_bi1_twice_neu;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe erhalten.;unknown;1;aii;bi;1;neutral;twice;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;0;0.001282973913475871;0.04080720618367195;0.9579098224639893
1_aii_bi1_cannot_say_neu;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.;unknown;1;aii;bi;1;neutral;cannot say;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe erhalten hat.;morit/german_xlm_xnli;neutral;1;0.02335626445710659;0.9740115404129028;0.002632247284054756
1_aii_bi2_once_pos;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe erhalten.;unknown;1;aii;bi;2;positive;once;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;0;0.02226071245968342;0.024900449439883232;0.9528387784957886
1_aii_bi2_twice_pos;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe erhalten.;entailment;1;aii;bi;2;positive;twice;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe erhalten.;morit/german_xlm_xnli;entailment;1;0.0015889869537204504;0.06253568083047867;0.9358752965927124
1_aii_bi2_cannot_say_pos;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.;unknown;1;aii;bi;2;positive;cannot say;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe erhalten, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Linda eine rosa Lampe erhalten hat.;morit/german_xlm_xnli;neutral;1;0.023049229755997658;0.9750804305076599;0.0018704213434830308
1_aii_bii1_once_pos;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe besorgt.;unknown;1;aii;bii;1;positive;once;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat einmal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;0;0.03290253505110741;0.026616908609867096;0.9404805898666382
1_aii_bii1_twice_pos;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe besorgt.;entailment;1;aii;bii;1;positive;twice;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Judith hat mindestens zweimal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;1;0.0013249795883893967;0.039281025528907776;0.9593939781188965
1_aii_bii1_cannot_say_pos;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.;unknown;1;aii;bii;1;positive;cannot say;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Judith wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Es lässt sich nicht sagen, wie oft Judith eine rosa Lampe besorgt hat.;morit/german_xlm_xnli;neutral;1;0.012293738313019276;0.9857029318809509;0.0020033943001180887
1_aii_bii2_once_neu;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe besorgt.;entailment;1;aii;bii;2;neutral;once;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat einmal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;1;0.030747629702091217;0.031464215368032455;0.9377880692481995
1_aii_bii2_twice_neu;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft.;Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe besorgt.;unknown;1;aii;bii;2;neutral;twice;False;;;Letzte Woche hat Judith Linda eine rosa Lampe für ein Zimmer gekauft. Vor zwei Tagen hat Linda wieder eine rosa Lampe besorgt, als sie mit einer Freundin unterwegs war.;Linda hat mindestens zweimal eine rosa Lampe besorgt.;morit/german_xlm_xnli;entailment;0;0.0016853110864758492;0.06549631059169769;0.9328183531761169
